lon,lat
51.39387131,35.64488174
51.39384985,35.64496893
51.39799118,35.6496769
51.43253803,35.64554436
51.44464016,35.64516074
51.45429611,35.64575361
51.46356583,35.64254509
51.46077633,35.6526236
51.46064758,35.65942326
51.46481037,35.66625721
51.46519661,35.66977855
51.45895243,35.6758621
51.46051884,35.68245063
51.45689249,35.68858549
51.45633459,35.69507713
51.45779371,35.69855364
51.45682812,35.71554192
51.4713335,35.72449634
51.47789955,35.7298267
51.482234,35.73439032
51.48317814,35.7370378
51.48300648,35.7472437
51.48553848,35.75285116
51.48510933,35.75751794
51.48249149,35.75932885
51.47862911,35.7591199
51.47279263,35.75710003
51.45498276,35.75542837
51.44888878,35.75173666
51.4405632,35.75069181
51.43730164,35.74950763
51.42811775,35.74922899
51.42150879,35.74957729
51.41558647,35.7521546
51.38644695,35.75037835
51.38382912,35.74295947
51.3832283,35.72777124
51.37816429,35.71940952
51.37773514,35.70059242
51.38142586,35.6544369
51.39387131,35.64488174
